 N , quick sort,merge sort , radix sort, quick radix sort
100,0.278814,0.310677, 0.592379, 0.328235
 200, 0.58713, 0.65011 ,  1.16445, 0.655621
300 ,0.916563,1.05397 , 1.68607, 0.976539
400, 1.25597, 1.38528, 2.24021, 1.28917 
500 , 1.59669 , 1.68052 , 2.81387,  1.60578
 600,1.95246, 2.22207, 3.36986 , 1.94541
700,2.34007 , 2.60573 ,  3.93328,2.24345 

800 ,2.68147,  2.9272 ,4.55122,2.58128
 900, 3.05645,  3.29231,5.10663,2.95739
 1000, 3.45528, 3.60641, 5.68592, 3.27672
 1100,3.84576 , 4.33061 , 6.28408,3.59623 
1200,4.2687 , 4.76452,  6.87771,3.88671
 1300 ,4.58548, 5.1748, 7.27138, 4.27364
 1400 , 5.00605,  5.47992 , 7.82033, 4.61284
 1500 ,5.49218 ,6.00206, 8.95777 , 4.99568
 1600 ,5.87969, 6.35295, 9.2447,  5.35989 

1700,6.31801 ,6.52392,9.65816,5.59644
 1800 , 6.56065 , 6.87855 , 10.2826, 5.91181
1900,6.98909, 7.18425, 10.7788, 6.18183
2000, 7.29114 , 7.46121, 11.3422, 6.48746 
 2100, 7.80059,8.53442,11.8962 ,  6.79331
2200, 8.17339 ,9.00871,12.2396,6.95622
2300, 8.40086, 9.32955,12.675,7.45575
2400 , 9.19485,10.0703, 13.4067, 7.69917 
2500,9.3832 , 10.3017,13.944,  8.06972
2600, 9.79992,  10.7216,14.4962,8.40537
2700 ,10.2173, 11.109,14.9791,  8.57089
2800,10.3863,11.2389,15.5669,  9.23917
2900,10.9667,11.7573 ,16.1606,9.38072
3000,11.4369, 12.0348 ,  16.7432,9.67117
