N , quick sort ,merge sort,radix sort , quick radix sort 
 100, 0.339007 ,0.337607,  0.738854, 0.180261 
200,  0.733298 ,0.726426,1.42515,0.431558
300,1.16505 ,  1.1179,  1.76088 ,  0.695594 
 400,1.46344, 1.46846, 2.04813,0.994243
 500 ,1.86534 ,  1.78641, 2.31405, 1.28486
600 , 2.26748,2.38774 ,2.56103,  1.59853 
 700, 2.67816,2.7804,  2.85848, 1.91668

800,3.08015 , 3.1105 ,3.16067, 2.23177
900, 3.52534, 3.49608, 3.49014, 2.58508 
 1000, 3.93554 ,3.81171,  3.83489, 2.92803 
1100, 4.42049, 4.56024 , 4.23648, 3.30528 
1200 , 4.83573,  5.04907 , 4.62741, 3.62847
1300, 5.31122, 5.47065 , 5.1069, 4.08639 
 1400,6.28882, 6.04645 , 5.6209, 4.69025
1500 ,6.5229, 6.57989, 6.12573, 4.83472
1600, 6.74503,  6.74273,6.52528, 5.29831

 1700 , 7.45441 ,7.28776, 7.10848, 5.66617
1800, 7.78004, 7.6768,7.5833, 5.98504 
1900 ,8.19728,7.86474, 7.99578 , 6.29489
 2000, 8.59743, 8.28271 , 8.67264 , 6.7415
 2100,9.26611 , 9.26619,9.13053 , 7.07914
 2200 ,9.67721,9.96999, 9.8283 , 7.52215 
 2300,10.2303,10.3963, 10.4932, 8.01113
2400 , 10.7486,  10.9041, 11.1872,8.47875 
2500 ,11.1297, 11.2893, 11.7485 , 8.80428 
2600, 11.4886,11.7417, 12.3858, 9.30581
2700 , 12.1975, 12.3054, 13.119, 9.61341
2800,12.6255, 14.4992,  13.8563, 10.0989
2900,13.7531 ,  13.0044, 14.341, 10.4584
 3000,13.2903 , 13.3613, 15.0343,11.1149 
